"LIQUIDO A GRANEL"
"Navio
Ship";"Bandeira
Flag";"Com/Len
Cal/Draft";"Nav";"Cheg/Arrival
d/m/y";"Carimbo
Notice";"Agência
Office";"Operaç
Operat";"Mercadoria
Goods";"Peso
Weight";"Viagem
Voyage";"DUV";"P";"Terminal";"IMO"
"WHITE CONDOR I";"ARUBA";"183
9";"Long";"08/09/2025 11:30:00";"3978--";"NORTH STAR SUDESTE SERVICOS MARITIMOS LTDA-EPP";"
DESC";"
OLEO DIESEL";"
36892";"4172-6
2025";"416302025";"B";"ALAMOA";"09255244";""
"FLUMAR BRASIL";"BRASILEIRA";"183
11";"Cabo";"14/09/2025 23:15:00";"4074-6";"CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.";"EMB
";"OLEO DIESEL
";"30000
";"4298-0
2025";"429552025";"B";"ALAMOA";"09416836";""
"VORIAS";"LIBERIANA";"183
8.6";"Cabo";"15/09/2025 16:00:00";"4083-5";"CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.";"EMB
";"OLEO DIESEL
";"35000
";"4195-6
2025";"421622025";"B";"ALAMOA";"09448322";""
"SHAMAL";"CHIPRE";"183
10.5";"Cabo";"16/09/2025 00:54:00";"4087-8";"CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.";"EMB
";"OLEO COMBUSTIVEL
";"35000
";"4315-1
2025";"432542025";"B";"ALAMOA";"09391476";""
"CLARITY";"LIBERIANA";"183
10.6";"Cabo";"16/09/2025 14:12:00";"4101-7";"CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.";"EMB
";"OLEO COMBUSTIVEL
";"30000
";"4250-7
2025";"424952025";"B";"ALAMOA";"09416381";""
"RÔMULO ALMEIDA";"BRASILEIRA";"183
10.2";"Cabo";"17/09/2025 17:50:00";"4124-6";"CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.";"EMB
";"OLEO DIESEL
";"45000
";"4193-3
2025";"421662025";"B";"ALAMOA";"09489912";""
"MAERSK KATALIN";"SINGAPURENSE";"183
9";"Cabo";"17/09/2025 23:06:00";"4128-9";"CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.";"EMB
";"OLEO DIESEL
";"35000
";"4329-2
2025";"433852025";"B";"ALAMOA";"09431317";""
"ALESSANDRO VOLTA";"ITALIANA";"180
9.8";"Long";"19/09/2025";"";"CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.";"
DESC";"
GAS LIQUEFEITO";"
4000";"3638-1
2025";"363372025";"B";"ALAMOA";"09292773";""
"BUENA CONFIANZA";"PANAMENHA";"120
7.8";"Cabo";"19/09/2025";"";"CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.";"
DESC";"
GAS LIQUEFEITO";"
5000";"3710-4
2025";"369652025";"B";"ALAMOA";"09759264";""
"CLEAN JUSTICE";"LIBERIANA";"182
11";"Cabo";"19/09/2025";"";"CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.";"EMB
";"OLEO COMBUSTIVEL
";"26000
";"3903-7
2025";"390562025";"B";"ALAMOA";"09473717";""
